country,year,metric,value,unit,source,notes
Philippines,2025 Sep 9,tax_revenue_ra_12023_digital_services_tax_-_b2b_usd,20000000.0,USD,Bureau of Internal Revenue (PhilStar Sep 2025),Confidence 90%; Local 1140000000 PHP
Philippines,2025 Sep 9,tax_revenue_ra_12023_total_collections_(3_months)_usd,50000000.0,USD,Bureau of Internal Revenue (PhilStar Sep 2025),Confidence 90%; Local 2800000000 PHP
Philippines,2025 Projection,tax_revenue_ra_12023_full_year_(50%_compliance)_usd,129000000.0,USD,Philippine Department of Finance,Confidence 70%; Local 7250000000 PHP
Thailand,2023 Q1 (Oct-Dec 2022),tax_revenue_ves_usd,45000000.0,USD,Thailand Revenue Department (UNCTAD),Confidence 85%; Local 1650000000000 THB
Thailand,2023 Q2 (Jan-Mar 2023),tax_revenue_ves_usd,45000000.0,USD,Thailand Revenue Department (UNCTAD),Confidence 85%; Local 1640000000000 THB
Thailand,2023 Q3 (Apr-Jun 2023),tax_revenue_ves_usd,47000000.0,USD,Thailand Revenue Department (UNCTAD),Confidence 85%; Local 1720000000000 THB
Thailand,2023 9-Month Total,tax_revenue_ves_usd,139000000.0,USD,Thailand Revenue Department (UNCTAD),Confidence 85%; Local 5010000000000 THB
Thailand,2022,tax_revenue_ves_full_year_usd,163000000.0,USD,Thailand Revenue Department,Confidence 85%; Local 5900000000000 THB
Asean Regional,2020,tax_revenue_digital_economy_gmv_usd,98000000.0,USD,e-Conomy SEA 2020,Confidence 95%; Local 98000000000 USD
Asean Regional,2024,tax_revenue_digital_economy_gmv_usd,200000000.0,USD,e-Conomy SEA 2024,Confidence 95%; Local 200000000000 USD
Indonesia,2020,tax_revenue_digital_economy_gmv_usd,44000000.0,USD,e-Conomy SEA 2020,Confidence 95%; Local 44000000000 USD
Indonesia,2024,tax_revenue_digital_economy_gmv_usd,90000000.0,USD,e-Conomy SEA 2024,Confidence 95%; Local 90000000000 USD
Vietnam,2020,tax_revenue_digital_economy_gmv_usd,16000000.0,USD,e-Conomy SEA 2020,Confidence 95%; Local 16000000000 USD
Vietnam,2024,tax_revenue_digital_economy_gmv_usd,32000000.0,USD,e-Conomy SEA 2024,Confidence 95%; Local 32000000000 USD
Philippines,2020,tax_revenue_digital_economy_gmv_usd,18000000.0,USD,e-Conomy SEA 2020,Confidence 95%; Local 18000000000 USD
Philippines,2024,tax_revenue_digital_economy_gmv_usd,38000000.0,USD,e-Conomy SEA 2024,Confidence 95%; Local 38000000000 USD
Thailand,2020,tax_revenue_digital_economy_gmv_usd,12000000.0,USD,e-Conomy SEA 2020,Confidence 95%; Local 12000000000 USD
Thailand,2024,tax_revenue_digital_economy_gmv_usd,24000000.0,USD,e-Conomy SEA 2024,Confidence 95%; Local 24000000000 USD
Malaysia,2020,tax_revenue_digital_economy_gmv_usd,8000000.0,USD,e-Conomy SEA 2020,Confidence 95%; Local 8000000000 USD
Malaysia,2024,tax_revenue_digital_economy_gmv_usd,16000000.0,USD,e-Conomy SEA 2024,Confidence 95%; Local 16000000000 USD
